query_id,metric_name,category,description,timestamp,value,labels
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:06:30Z,0.103400,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:07:30Z,0.312299,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:08:30Z,0.546813,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:09:30Z,0.832572,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:10:30Z,1.156534,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:11:30Z,1.413299,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:12:30Z,1.586907,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:13:30Z,1.901388,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:14:30Z,2.041153,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:15:30Z,2.928486,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:16:30Z,3.469821,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:17:30Z,3.190652,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:18:30Z,3.162126,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:19:30Z,2.665379,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:20:30Z,1.787517,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:21:30Z,1.773626,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:22:30Z,1.974081,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:23:30Z,2.162296,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:24:30Z,2.475482,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:25:30Z,3.171862,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:26:30Z,3.820894,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:27:30Z,3.547841,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:28:30Z,3.511698,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:29:30Z,3.188391,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:30:30Z,2.335632,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:31:30Z,2.232757,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:32:30Z,2.325719,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:33:30Z,2.479041,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:34:30Z,2.636970,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:35:30Z,3.261306,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:36:30Z,3.968542,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:37:30Z,3.907388,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:38:30Z,3.658877,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:39:30Z,3.461691,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:40:30Z,2.542320,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:41:30Z,2.205744,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:42:30Z,2.346982,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:43:30Z,2.511126,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:44:30Z,2.781870,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:45:30Z,3.152668,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:46:30Z,3.709194,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:47:30Z,4.078848,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:48:30Z,3.808469,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:49:30Z,3.513522,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:50:30Z,2.681776,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:51:30Z,2.303775,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:52:30Z,2.544403,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:53:30Z,2.883373,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:54:30Z,3.014999,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:55:30Z,3.507774,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:56:30Z,4.414599,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:57:30Z,4.528917,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:58:30Z,4.327228,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T01:59:30Z,4.080441,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T02:00:30Z,3.462426,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T02:01:30Z,2.989573,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T02:02:30Z,3.258835,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T02:03:30Z,3.559368,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T02:04:30Z,3.703366,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T02:05:30Z,4.325857,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T02:06:30Z,5.328679,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T02:07:30Z,5.476573,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T02:08:30Z,5.131970,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T02:09:30Z,4.875029,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T02:10:30Z,4.288447,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T02:11:30Z,3.602684,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T02:12:30Z,3.794411,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T02:13:30Z,3.897012,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T02:14:30Z,4.155932,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T02:15:30Z,4.415235,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T02:16:30Z,5.347580,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T02:17:30Z,5.660766,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T02:18:30Z,5.402933,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T02:19:30Z,5.133635,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-06T02:20:30Z,4.477063,
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:07:30Z,1560.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:08:30Z,1559.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:09:30Z,1560.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:10:30Z,1559.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:11:30Z,1559.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:12:30Z,1560.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:13:30Z,1559.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:14:30Z,1557.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:15:30Z,1551.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:16:30Z,1555.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:17:30Z,1559.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:18:30Z,1559.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:19:30Z,1557.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:20:30Z,1559.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:21:30Z,1557.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:22:30Z,1555.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:23:30Z,1554.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:24:30Z,1555.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:25:30Z,1535.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:26:30Z,1553.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:27:30Z,1559.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:28:30Z,1559.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:29:30Z,1559.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:30:30Z,1559.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:31:30Z,1556.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:32:30Z,1559.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:33:30Z,1559.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:34:30Z,1553.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:35:30Z,1543.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:36:30Z,1544.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:37:30Z,1559.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:38:30Z,1560.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:39:30Z,1558.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:40:30Z,1560.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:41:30Z,1557.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:42:30Z,1558.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:43:30Z,1558.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:44:30Z,1558.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:45:30Z,1547.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:46:30Z,1543.000000,pod=tempo-tempostack-ingester-0
7,ingester_live_traces,ingestion,Number of live (in-memory) traces in each ingester,2026-01-06T01:47:30Z,1560.000000,pod=tempo-tempostack-ingester-0
