query_id,metric_name,category,description,timestamp,value,labels
3,bytes_received_rate,ingestion,"Rate of bytes received by the distributor per second, grouped by status",2026-01-06T02:23:15Z,4287703.594007,
3,bytes_received_rate,ingestion,"Rate of bytes received by the distributor per second, grouped by status",2026-01-06T02:24:15Z,6733206.566667,
3,bytes_received_rate,ingestion,"Rate of bytes received by the distributor per second, grouped by status",2026-01-06T02:25:15Z,6731807.433333,
3,bytes_received_rate,ingestion,"Rate of bytes received by the distributor per second, grouped by status",2026-01-06T02:26:15Z,6740992.833333,
3,bytes_received_rate,ingestion,"Rate of bytes received by the distributor per second, grouped by status",2026-01-06T02:27:15Z,6741892.233333,
3,bytes_received_rate,ingestion,"Rate of bytes received by the distributor per second, grouped by status",2026-01-06T02:28:15Z,6741811.933333,
3,bytes_received_rate,ingestion,"Rate of bytes received by the distributor per second, grouped by status",2026-01-06T02:29:15Z,6729939.500000,
3,bytes_received_rate,ingestion,"Rate of bytes received by the distributor per second, grouped by status",2026-01-06T02:30:15Z,6729552.933333,
3,bytes_received_rate,ingestion,"Rate of bytes received by the distributor per second, grouped by status",2026-01-06T02:31:15Z,6736108.200000,
3,bytes_received_rate,ingestion,"Rate of bytes received by the distributor per second, grouped by status",2026-01-06T02:32:15Z,6741243.866667,
3,bytes_received_rate,ingestion,"Rate of bytes received by the distributor per second, grouped by status",2026-01-06T02:33:15Z,6741918.100000,
3,bytes_received_rate,ingestion,"Rate of bytes received by the distributor per second, grouped by status",2026-01-06T02:34:15Z,6741069.133333,
3,bytes_received_rate,ingestion,"Rate of bytes received by the distributor per second, grouped by status",2026-01-06T02:35:15Z,6743426.333333,
3,bytes_received_rate,ingestion,"Rate of bytes received by the distributor per second, grouped by status",2026-01-06T02:36:15Z,6741971.466667,
3,bytes_received_rate,ingestion,"Rate of bytes received by the distributor per second, grouped by status",2026-01-06T02:37:15Z,6742393.633333,
3,bytes_received_rate,ingestion,"Rate of bytes received by the distributor per second, grouped by status",2026-01-06T02:38:15Z,6742700.733333,
3,bytes_received_rate,ingestion,"Rate of bytes received by the distributor per second, grouped by status",2026-01-06T02:39:15Z,6732951.066667,
3,bytes_received_rate,ingestion,"Rate of bytes received by the distributor per second, grouped by status",2026-01-06T02:40:15Z,6734695.900000,
3,bytes_received_rate,ingestion,"Rate of bytes received by the distributor per second, grouped by status",2026-01-06T02:41:15Z,6741884.533333,
3,bytes_received_rate,ingestion,"Rate of bytes received by the distributor per second, grouped by status",2026-01-06T02:42:15Z,6742787.633333,
3,bytes_received_rate,ingestion,"Rate of bytes received by the distributor per second, grouped by status",2026-01-06T02:43:15Z,6741645.166667,
3,bytes_received_rate,ingestion,"Rate of bytes received by the distributor per second, grouped by status",2026-01-06T02:44:15Z,6740507.000000,
3,bytes_received_rate,ingestion,"Rate of bytes received by the distributor per second, grouped by status",2026-01-06T02:45:15Z,6742011.800000,
3,bytes_received_rate,ingestion,"Rate of bytes received by the distributor per second, grouped by status",2026-01-06T02:46:15Z,6741161.266667,
3,bytes_received_rate,ingestion,"Rate of bytes received by the distributor per second, grouped by status",2026-01-06T02:47:15Z,6742794.500000,
3,bytes_received_rate,ingestion,"Rate of bytes received by the distributor per second, grouped by status",2026-01-06T02:48:15Z,6730658.833333,
3,bytes_received_rate,ingestion,"Rate of bytes received by the distributor per second, grouped by status",2026-01-06T02:49:15Z,6742648.100000,
3,bytes_received_rate,ingestion,"Rate of bytes received by the distributor per second, grouped by status",2026-01-06T02:50:15Z,6740597.933333,
3,bytes_received_rate,ingestion,"Rate of bytes received by the distributor per second, grouped by status",2026-01-06T02:51:15Z,6743316.200000,
3,bytes_received_rate,ingestion,"Rate of bytes received by the distributor per second, grouped by status",2026-01-06T02:52:15Z,6741190.633333,
3,bytes_received_rate,ingestion,"Rate of bytes received by the distributor per second, grouped by status",2026-01-06T02:53:15Z,6742861.866667,
3,bytes_received_rate,ingestion,"Rate of bytes received by the distributor per second, grouped by status",2026-01-06T02:54:15Z,6729594.733333,
