query_id,metric_name,category,description,timestamp,value,labels
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:01:33Z,0.909407,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:02:33Z,3.404310,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:03:33Z,5.582169,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:04:33Z,7.753136,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:05:33Z,9.688899,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:06:33Z,10.847290,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:07:33Z,11.164412,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:08:33Z,11.614862,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:09:33Z,12.002230,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:10:33Z,12.103703,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:11:33Z,12.648432,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:12:33Z,13.158936,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:13:33Z,13.515731,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:14:33Z,13.673840,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:15:33Z,14.441554,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:16:33Z,14.967735,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:17:33Z,15.127794,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:18:33Z,15.210160,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:19:33Z,14.870438,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:20:33Z,14.201001,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:21:33Z,14.208471,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:22:33Z,13.904328,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:23:33Z,13.479947,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:24:33Z,13.747523,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:25:33Z,13.672781,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:26:33Z,14.054633,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:27:33Z,14.373286,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:28:33Z,14.485517,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:29:33Z,14.873602,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:30:33Z,15.130606,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:31:33Z,15.063290,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:32:33Z,14.908302,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:33:33Z,15.054222,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:34:33Z,15.056035,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:35:33Z,15.082664,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:36:33Z,15.289763,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:37:33Z,14.998871,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:38:33Z,14.524009,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:39:33Z,13.651507,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:40:33Z,13.328779,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:41:33Z,12.593155,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:42:33Z,12.664081,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:43:33Z,12.759052,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:44:33Z,12.717280,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:45:33Z,12.567070,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:46:33Z,12.634186,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:47:33Z,12.377078,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:48:33Z,12.542232,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:49:33Z,12.588690,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:50:33Z,12.259090,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:51:33Z,12.350028,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:52:33Z,12.424794,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:53:33Z,12.208641,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:54:33Z,12.061337,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:55:33Z,11.988580,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:56:33Z,12.240638,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:57:33Z,12.376846,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:58:33Z,12.615391,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T17:59:33Z,12.715252,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T18:00:33Z,12.641435,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T18:01:33Z,12.789720,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T18:02:33Z,13.018515,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T18:03:33Z,12.863462,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T18:04:33Z,13.094635,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T18:05:33Z,12.958136,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T18:06:33Z,12.849524,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T18:07:33Z,12.789116,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T18:08:33Z,12.993630,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T18:09:33Z,12.820535,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T18:10:33Z,12.759247,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T18:11:33Z,12.596299,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T18:12:33Z,12.621271,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T18:13:33Z,12.439279,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T18:14:33Z,12.425467,
22,cpu_usage_total,resources,Total CPU cores used by all Tempo containers,2026-01-07T18:15:33Z,12.734067,
13,compactor_bytes_written,compactor,Rate of bytes written during compaction,2026-01-07T17:08:33Z,22449740.100000,
13,compactor_bytes_written,compactor,Rate of bytes written during compaction,2026-01-07T17:09:33Z,6040148.033333,
13,compactor_bytes_written,compactor,Rate of bytes written during compaction,2026-01-07T17:10:33Z,0.000000,
13,compactor_bytes_written,compactor,Rate of bytes written during compaction,2026-01-07T17:11:33Z,0.000000,
13,compactor_bytes_written,compactor,Rate of bytes written during compaction,2026-01-07T17:12:33Z,0.000000,
13,compactor_bytes_written,compactor,Rate of bytes written during compaction,2026-01-07T17:13:33Z,22449273.066667,
13,compactor_bytes_written,compactor,Rate of bytes written during compaction,2026-01-07T17:14:33Z,18521143.833333,
13,compactor_bytes_written,compactor,Rate of bytes written during compaction,2026-01-07T17:15:33Z,11224777.766667,
13,compactor_bytes_written,compactor,Rate of bytes written during compaction,2026-01-07T17:16:33Z,11223951.100000,
13,compactor_bytes_written,compactor,Rate of bytes written during compaction,2026-01-07T17:17:33Z,11224111.966667,
13,compactor_bytes_written,compactor,Rate of bytes written during compaction,2026-01-07T17:18:33Z,22448087.733333,
13,compactor_bytes_written,compactor,Rate of bytes written during compaction,2026-01-07T17:19:33Z,0.000000,
13,compactor_bytes_written,compactor,Rate of bytes written during compaction,2026-01-07T17:20:33Z,11224532.933333,
13,compactor_bytes_written,compactor,Rate of bytes written during compaction,2026-01-07T17:21:33Z,15173048.700000,
13,compactor_bytes_written,compactor,Rate of bytes written during compaction,2026-01-07T17:22:33Z,0.000000,
13,compactor_bytes_written,compactor,Rate of bytes written during compaction,2026-01-07T17:23:33Z,22449466.266667,
13,compactor_bytes_written,compactor,Rate of bytes written during compaction,2026-01-07T17:24:33Z,11224389.600000,
13,compactor_bytes_written,compactor,Rate of bytes written during compaction,2026-01-07T17:25:33Z,11223800.700000,
13,compactor_bytes_written,compactor,Rate of bytes written during compaction,2026-01-07T17:26:33Z,11224191.866667,
