query_id,metric_name,category,description,timestamp,value,labels
29,memory_max_total,resources,Max total memory usage over 5-minute windows,2026-01-07T18:18:29Z,630767616.000000,
29,memory_max_total,resources,Max total memory usage over 5-minute windows,2026-01-07T18:19:29Z,2884243456.000000,
29,memory_max_total,resources,Max total memory usage over 5-minute windows,2026-01-07T18:20:29Z,9354735616.000000,
29,memory_max_total,resources,Max total memory usage over 5-minute windows,2026-01-07T18:21:29Z,11331772416.000000,
29,memory_max_total,resources,Max total memory usage over 5-minute windows,2026-01-07T18:22:29Z,11331772416.000000,
29,memory_max_total,resources,Max total memory usage over 5-minute windows,2026-01-07T18:23:29Z,11658432512.000000,
29,memory_max_total,resources,Max total memory usage over 5-minute windows,2026-01-07T18:24:29Z,11658432512.000000,
29,memory_max_total,resources,Max total memory usage over 5-minute windows,2026-01-07T18:25:29Z,15913164800.000000,
29,memory_max_total,resources,Max total memory usage over 5-minute windows,2026-01-07T18:26:29Z,17519243264.000000,
29,memory_max_total,resources,Max total memory usage over 5-minute windows,2026-01-07T18:27:29Z,18230202368.000000,
29,memory_max_total,resources,Max total memory usage over 5-minute windows,2026-01-07T18:28:29Z,18230202368.000000,
29,memory_max_total,resources,Max total memory usage over 5-minute windows,2026-01-07T18:29:29Z,18230202368.000000,
29,memory_max_total,resources,Max total memory usage over 5-minute windows,2026-01-07T18:30:29Z,18230202368.000000,
29,memory_max_total,resources,Max total memory usage over 5-minute windows,2026-01-07T18:31:29Z,19822612480.000000,
29,memory_max_total,resources,Max total memory usage over 5-minute windows,2026-01-07T18:32:29Z,19822612480.000000,
29,memory_max_total,resources,Max total memory usage over 5-minute windows,2026-01-07T18:33:29Z,19822612480.000000,
29,memory_max_total,resources,Max total memory usage over 5-minute windows,2026-01-07T18:34:29Z,19822612480.000000,
29,memory_max_total,resources,Max total memory usage over 5-minute windows,2026-01-07T18:35:29Z,22541643776.000000,
29,memory_max_total,resources,Max total memory usage over 5-minute windows,2026-01-07T18:36:29Z,25470570496.000000,
29,memory_max_total,resources,Max total memory usage over 5-minute windows,2026-01-07T18:37:29Z,25470570496.000000,
29,memory_max_total,resources,Max total memory usage over 5-minute windows,2026-01-07T18:38:29Z,25470570496.000000,
29,memory_max_total,resources,Max total memory usage over 5-minute windows,2026-01-07T18:39:29Z,25470570496.000000,
29,memory_max_total,resources,Max total memory usage over 5-minute windows,2026-01-07T18:40:29Z,25470570496.000000,
29,memory_max_total,resources,Max total memory usage over 5-minute windows,2026-01-07T18:41:29Z,17740914688.000000,
29,memory_max_total,resources,Max total memory usage over 5-minute windows,2026-01-07T18:42:29Z,17740914688.000000,
29,memory_max_total,resources,Max total memory usage over 5-minute windows,2026-01-07T18:43:29Z,17740914688.000000,
29,memory_max_total,resources,Max total memory usage over 5-minute windows,2026-01-07T18:44:29Z,20365049856.000000,
29,memory_max_total,resources,Max total memory usage over 5-minute windows,2026-01-07T18:45:29Z,20365049856.000000,
29,memory_max_total,resources,Max total memory usage over 5-minute windows,2026-01-07T18:46:29Z,20365049856.000000,
29,memory_max_total,resources,Max total memory usage over 5-minute windows,2026-01-07T18:47:29Z,20365049856.000000,
