query_id,metric_name,category,description,timestamp,value,labels
21,memory_usage_total,resources,Total memory working set bytes used by all Tempo containers,2026-01-07T19:34:33Z,1482752.000000,
21,memory_usage_total,resources,Total memory working set bytes used by all Tempo containers,2026-01-07T19:35:33Z,3414339584.000000,
21,memory_usage_total,resources,Total memory working set bytes used by all Tempo containers,2026-01-07T19:36:33Z,8468590592.000000,
21,memory_usage_total,resources,Total memory working set bytes used by all Tempo containers,2026-01-07T19:37:33Z,11637456896.000000,
21,memory_usage_total,resources,Total memory working set bytes used by all Tempo containers,2026-01-07T19:38:33Z,12386607104.000000,
21,memory_usage_total,resources,Total memory working set bytes used by all Tempo containers,2026-01-07T19:39:33Z,11155255296.000000,
21,memory_usage_total,resources,Total memory working set bytes used by all Tempo containers,2026-01-07T19:40:33Z,13634310144.000000,
21,memory_usage_total,resources,Total memory working set bytes used by all Tempo containers,2026-01-07T19:41:33Z,19901124608.000000,
21,memory_usage_total,resources,Total memory working set bytes used by all Tempo containers,2026-01-07T19:42:33Z,20732276736.000000,
21,memory_usage_total,resources,Total memory working set bytes used by all Tempo containers,2026-01-07T19:43:33Z,19747999744.000000,
21,memory_usage_total,resources,Total memory working set bytes used by all Tempo containers,2026-01-07T19:44:33Z,16431362048.000000,
21,memory_usage_total,resources,Total memory working set bytes used by all Tempo containers,2026-01-07T19:45:33Z,18705600512.000000,
21,memory_usage_total,resources,Total memory working set bytes used by all Tempo containers,2026-01-07T19:46:33Z,17457991680.000000,
21,memory_usage_total,resources,Total memory working set bytes used by all Tempo containers,2026-01-07T19:47:33Z,16958664704.000000,
21,memory_usage_total,resources,Total memory working set bytes used by all Tempo containers,2026-01-07T19:48:33Z,19834224640.000000,
21,memory_usage_total,resources,Total memory working set bytes used by all Tempo containers,2026-01-07T19:49:33Z,22792085504.000000,
21,memory_usage_total,resources,Total memory working set bytes used by all Tempo containers,2026-01-07T19:50:33Z,16947519488.000000,
21,memory_usage_total,resources,Total memory working set bytes used by all Tempo containers,2026-01-07T19:51:33Z,24995913728.000000,
21,memory_usage_total,resources,Total memory working set bytes used by all Tempo containers,2026-01-07T19:52:33Z,22492401664.000000,
21,memory_usage_total,resources,Total memory working set bytes used by all Tempo containers,2026-01-07T19:53:33Z,20390514688.000000,
21,memory_usage_total,resources,Total memory working set bytes used by all Tempo containers,2026-01-07T19:54:33Z,20616970240.000000,
21,memory_usage_total,resources,Total memory working set bytes used by all Tempo containers,2026-01-07T19:55:33Z,24817233920.000000,
21,memory_usage_total,resources,Total memory working set bytes used by all Tempo containers,2026-01-07T19:56:33Z,17476104192.000000,
21,memory_usage_total,resources,Total memory working set bytes used by all Tempo containers,2026-01-07T19:57:33Z,18982645760.000000,
21,memory_usage_total,resources,Total memory working set bytes used by all Tempo containers,2026-01-07T19:58:33Z,15606423552.000000,
21,memory_usage_total,resources,Total memory working set bytes used by all Tempo containers,2026-01-07T19:59:33Z,16991207424.000000,
